Series_Title,Certificate,Runtime,Genre,Meta_score,No_of_Votes,IMDB_Rating
The Shawshank Redemption,A,142,Drama,80,2343110,9.3
The Godfather,A,175,"Crime, Drama",100,1620367,9.2
The Dark Knight,UA,152,"Action, Crime, Drama",84,2303232,9
The Godfather: Part II,A,202,"Crime, Drama",90,1129952,9
12 Angry Men,U,96,"Crime, Drama",96,689845,9
The Lord of the Rings: The Return of the King,U,201,"Action, Adventure, Drama",94,1642758,8.9
Pulp Fiction,A,154,"Crime, Drama",94,1826188,8.9
Schindler's List,A,195,"Biography, Drama, History",94,1213505,8.9
Inception,UA,148,"Action, Adventure, Sci-Fi",74,2067042,8.8
Fight Club,A,139,Drama,66,1854740,8.8
The Lord of the Rings: The Fellowship of the Ring,U,178,"Action, Adventure, Drama",92,1661481,8.8
Forrest Gump,UA,142,"Drama, Romance",82,1809221,8.8
"Il buono, il brutto, il cattivo",A,161,Western,90,688390,8.8
The Lord of the Rings: The Two Towers,UA,179,"Action, Adventure, Drama",87,1485555,8.7
The Matrix,A,136,"Action, Sci-Fi",73,1676426,8.7
Goodfellas,A,146,"Biography, Crime, Drama",90,1020727,8.7
Star Wars: Episode V - The Empire Strikes Back,UA,124,"Action, Adventure, Fantasy",82,1159315,8.7
One Flew Over the Cuckoo's Nest,A,133,Drama,83,918088,8.7
Hamilton,PG-13,160,"Biography, Drama, History",90,55291,8.6
Gisaengchung,A,132,"Comedy, Drama, Thriller",96,552778,8.6
Soorarai Pottru,U,153,Drama,,54995,8.6
Interstellar,UA,169,"Adventure, Drama, Sci-Fi",74,1512360,8.6
Cidade de Deus,A,130,"Crime, Drama",79,699256,8.6
Sen to Chihiro no kamikakushi,U,125,"Animation, Adventure, Family",96,651376,8.6
Saving Private Ryan,R,169,"Drama, War",91,1235804,8.6
The Green Mile,A,189,"Crime, Drama, Fantasy",61,1147794,8.6
La vita è bella,U,116,"Comedy, Drama, Romance",59,623629,8.6
Se7en,A,127,"Crime, Drama, Mystery",65,1445096,8.6
The Silence of the Lambs,A,118,"Crime, Drama, Thriller",85,1270197,8.6
Star Wars,UA,121,"Action, Adventure, Fantasy",90,1231473,8.6
Seppuku,,133,"Action, Drama, Mystery",85,42004,8.6
Shichinin no samurai,U,207,"Action, Adventure, Drama",98,315744,8.6
It's a Wonderful Life,PG,130,"Drama, Family, Fantasy",89,405801,8.6
Joker,A,122,"Crime, Drama, Thriller",59,939252,8.5
Whiplash,A,106,"Drama, Music",88,717585,8.5
The Intouchables,UA,112,"Biography, Comedy, Drama",57,760360,8.5
The Prestige,U,130,"Drama, Mystery, Sci-Fi",66,1190259,8.5
The Departed,A,151,"Crime, Drama, Thriller",85,1189773,8.5
The Pianist,R,150,"Biography, Drama, Music",85,729603,8.5
Gladiator,UA,155,"Action, Adventure, Drama",67,1341460,8.5
American History X,R,119,Drama,62,1034705,8.5
The Usual Suspects,A,106,"Crime, Mystery, Thriller",77,991208,8.5
Léon,A,110,"Action, Crime, Drama",64,1035236,8.5
The Lion King,U,88,"Animation, Adventure, Drama",88,942045,8.5
Ter.0ator 2: Judgment Day,U,137,"Action, Sci-Fi",75,995506,8.5
Nuovo Cinema Paradiso,U,155,"Drama, Romance",80,230763,8.5
Hotaru no haka,U,89,"Animation, Drama, War",94,235231,8.5
Back to the Future,U,116,"Adventure, Comedy, Sci-Fi",87,1058081,8.5
Once Upon a Time in the West,U,165,Western,80,302844,8.5
Psycho,A,109,"Horror, Mystery, Thriller",97,604211,8.5
Casablanca,U,102,"Drama, Romance, War",100,522093,8.5
